"GEO_ID","id"
"S0501_C01_012M","Margin of Error!!Total!!Total population!!SEX AND AGE!!85 years and over"
"S0501_C01_013E","Estimate!!Total!!Total population!!SEX AND AGE!!Median age (years)"
"S0501_C01_013M","Margin of Error!!Total!!Total population!!SEX AND AGE!!Median age (years)"
"S0501_C01_014E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0501_C01_014M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0501_C01_015E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0501_C01_015M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0501_C01_016E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0501_C01_016M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0501_C01_017E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0501_C01_017M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0501_C01_018E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0501_C01_018M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0501_C01_019E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0501_C01_019M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0501_C01_020E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0501_C01_020M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0501_C01_021E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0501_C01_021M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0501_C01_022E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)"
"S0501_C01_022M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)"
"S0501_C01_023E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S0501_C01_023M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S0501_C01_024E","Estimate!!Total!!Total population!!HOUSEHOLD TYPE!!In married-couple family"
"S0501_C01_024M","Margin of Error!!Total!!Total population!!HOUSEHOLD TYPE!!In married-couple family"
"S0501_C01_025E","Estimate!!Total!!Total population!!HOUSEHOLD TYPE!!In other households"
"S0501_C01_025M","Margin of Error!!Total!!Total population!!HOUSEHOLD TYPE!!In other households"
"S0501_C01_026E","Estimate!!Total!!Total population!!Average  household size"
"S0501_C01_026M","Margin of Error!!Total!!Total population!!Average  household size"
"S0501_C01_027E","Estimate!!Total!!Total population!!Average family size"
"S0501_C01_027M","Margin of Error!!Total!!Total population!!Average family size"
"S0501_C01_028E","Estimate!!Total!!MARITAL STATUS!!Population 15  years and over"
"S0501_C01_028M","Margin of Error!!Total!!MARITAL STATUS!!Population 15  years and over"
"S0501_C01_029E","Estimate!!Total!!MARITAL STATUS!!Population 15  years and over!!Never married"
"S0501_C01_029M","Margin of Error!!Total!!MARITAL STATUS!!Population 15  years and over!!Never married"
"S0501_C01_030E","Estimate!!Total!!MARITAL STATUS!!Population 15  years and over!!Now married, except separated"
"S0501_C01_030M","Margin of Error!!Total!!MARITAL STATUS!!Population 15  years and over!!Now married, except separated"
"S0501_C01_031E","Estimate!!Total!!MARITAL STATUS!!Population 15  years and over!!Divorced or separated"
"S0501_C01_031M","Margin of Error!!Total!!MARITAL STATUS!!Population 15  years and over!!Divorced or separated"
"S0501_C01_032E","Estimate!!Total!!MARITAL STATUS!!Population 15  years and over!!Widowed"
"S0501_C01_032M","Margin of Error!!Total!!MARITAL STATUS!!Population 15  years and over!!Widowed"
"S0501_C01_033E","Estimate!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school"
"S0501_C01_033M","Margin of Error!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school"
"S0501_C01_034E","Estimate!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
"S0501_C01_034M","Margin of Error!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
"S0501_C01_035E","Estimate!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades K-8)"
"S0501_C01_035M","Margin of Error!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades K-8)"
"S0501_C01_036E","Estimate!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)"
"S0501_C01_036M","Margin of Error!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)"
"S0501_C01_037E","Estimate!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school"
"S0501_C01_037M","Margin of Error!!Total!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school"
"S0501_C01_038E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S0501_C01_038M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S0501_C01_039E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S0501_C01_039M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S0501_C01_040E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S0501_C01_040M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S0501_C01_041E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree"
"S0501_C01_041M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree"
"S0501_C01_042E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree"
"S0501_C01_042M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree"
"S0501_C01_043E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree"
"S0501_C01_043M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree"
"S0501_C01_044E","Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over"
"S0501_C01_044M","Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over"
"S0501_C01_045E","Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!English only"
"S0501_C01_045M","Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!English only"
"S0501_C01_046E","Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English"
"S0501_C01_046M","Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English"
"S0501_C01_047E","Estimate!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English!!Speak English less than "very well""
"S0501_C01_047M","Margin of Error!!Total!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English!!Speak English less than "very well""
"S0501_C01_048E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over"
"S0501_C01_048M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over"
"S0501_C01_049E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force"
"S0501_C01_049M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force"
"S0501_C01_050E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force"
"S0501_C01_050M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force"
"S0501_C01_051E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed"
"S0501_C01_051M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed"
"S0501_C01_052E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed"
"S0501_C01_052M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed"
"S0501_C01_053E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Percent of civilian labor force"
"S0501_C01_053M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Percent of civilian labor force"
"S0501_C01_054E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces"
"S0501_C01_054M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces"
"S0501_C01_055E","Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force"
"S0501_C01_055M","Margin of Error!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force"
"S0501_C01_056E","Estimate!!Total!!Civilian employed population 16 years and over"
"S0501_C01_056M","Margin of Error!!Total!!Civilian employed population 16 years and over"
"S0501_C01_057E","Estimate!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Private wage and salary workers"
"S0501_C01_057M","Margin of Error!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Private wage and salary workers"
"S0501_C01_058E","Estimate!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Government workers"
"S0501_C01_058M","Margin of Error!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Government workers"
"S0501_C01_059E","Estimate!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Self-employed workers in own not incorporated business"
"S0501_C01_059M","Margin of Error!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Self-employed workers in own not incorporated business"
"S0501_C01_060E","Estimate!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Unpaid family workers"
"S0501_C01_060M","Margin of Error!!Total!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Unpaid family workers"
"S0501_C01_061E","Estimate!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Management, business, science, and arts occupations"
"S0501_C01_061M","Margin of Error!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Management, business, science, and arts occupations"
"S0501_C01_062E","Estimate!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Service occupations"
"S0501_C01_062M","Margin of Error!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Service occupations"
"S0501_C01_063E","Estimate!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Sales and office occupations"
"S0501_C01_063M","Margin of Error!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Sales and office occupations"
"S0501_C01_064E","Estimate!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Natural resources, construction, and maintenance occupations"
"S0501_C01_064M","Margin of Error!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Natural resources, construction, and maintenance occupations"
"S0501_C01_065E","Estimate!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Production, transportation, and material moving occupations"
"S0501_C01_065M","Margin of Error!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Production, transportation, and material moving occupations"
"S0501_C01_066E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining"
"S0501_C01_066M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining"
"S0501_C01_067E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Construction"
"S0501_C01_067M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Construction"
"S0501_C01_068E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Manufacturing"
"S0501_C01_068M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Manufacturing"
"S0501_C01_069E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Wholesale trade"
"S0501_C01_069M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Wholesale trade"
"S0501_C01_070E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Retail trade"
"S0501_C01_070M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Retail trade"
"S0501_C01_071E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Transportation and warehousing, and utilities"
"S0501_C01_071M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Transportation and warehousing, and utilities"
"S0501_C01_072E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Information"
"S0501_C01_072M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Information"
"S0501_C01_073E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing"
"S0501_C01_073M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing"
"S0501_C01_074E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services"
"S0501_C01_074M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services"
"S0501_C01_075E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Educational services, and health care and social assistance"
"S0501_C01_075M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Educational services, and health care and social assistance"
"S0501_C01_076E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services"
"S0501_C01_076M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services"
"S0501_C01_077E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Other services (except public administration)"
"S0501_C01_077M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Other services (except public administration)"
"S0501_C01_078E","Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Public administration"
"S0501_C01_078M","Margin of Error!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Public administration"
"S0501_C01_079E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings"
"S0501_C01_079M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings"
"S0501_C01_080E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$1 to $9,999 or loss"
"S0501_C01_080M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$1 to $9,999 or loss"
"S0501_C01_081E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$10,000 to $14,999"
"S0501_C01_081M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$10,000 to $14,999"
"S0501_C01_082E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$15,000 to $24,999"
"S0501_C01_082M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$15,000 to $24,999"
"S0501_C01_083E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$25,000 to $34,999"
"S0501_C01_083M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$25,000 to $34,999"
"S0501_C01_084E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$35,000 to $49,999"
"S0501_C01_084M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$35,000 to $49,999"
"S0501_C01_085E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$50,000 to $74,999"
"S0501_C01_085M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$50,000 to $74,999"
"S0501_C01_086E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$75,000 or more"
"S0501_C01_086M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$75,000 or more"
"S0501_C01_087E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!Median earnings (dollars) for full-time, year-round workers:!!Male"
"S0501_C01_087M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!Median earnings (dollars) for full-time, year-round workers:!!Male"
"S0501_C01_088E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!Median earnings (dollars) for full-time, year-round workers:!!Female"
"S0501_C01_088M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!Median earnings (dollars) for full-time, year-round workers:!!Female"
"S0501_C01_089E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households"
"S0501_C01_089M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households"
"S0501_C01_090E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings"
"S0501_C01_090M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings"
"S0501_C01_091E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings!!Mean earnings (dollars)"
"S0501_C01_091M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings!!Mean earnings (dollars)"
"S0501_C01_092E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income"
"S0501_C01_092M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income"
"S0501_C01_093E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income!!Mean Social Security income (dollars)"
"S0501_C01_093M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income!!Mean Social Security income (dollars)"
"S0501_C01_094E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income"
"S0501_C01_094M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income"
"S0501_C01_095E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income!!Mean Supplemental Security Income (dollars)"
"S0501_C01_095M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income!!Mean Supplemental Security Income (dollars)"
"S0501_C01_096E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income"
"S0501_C01_096M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income"
"S0501_C01_097E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income!!Mean cash public assistance income (dollars)"
"S0501_C01_097M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income!!Mean cash public assistance income (dollars)"
"S0501_C01_098E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income"
"S0501_C01_098M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income"
"S0501_C01_099E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income!!Mean retirement income (dollars)"
"S0501_C01_099M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income!!Mean retirement income (dollars)"
"S0501_C01_100E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Food Stamp/SNAP benefits"
"S0501_C01_100M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!With Food Stamp/SNAP benefits"
"S0501_C01_101E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!Median Household income (dollars)"
"S0501_C01_101M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!Median Household income (dollars)"
"S0501_C01_102E","Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!Average number of workers per household"
"S0501_C01_102M","Margin of Error!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Households!!Average number of workers per household"
"S0501_C01_103E","Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined"
